sample_id,project,site_name,site_id,site,site_position,date,time_interval_wks,core_diameter_cm,dry_weight_g,dish_weight_g,notes
PSD25_S1.1_t7,PSD25,Annes Beach,S1.1,1,1,,t7,,8.3159,5.017,Paired with S1.1_t7_C
PSD25_S1.2_t7,PSD25,Annes Beach,S1.2,1,2,,t7,,15.3022,5.1432,Paired with S1.2_t7_A
PSD25_S1.3_t7,PSD25,Annes Beach,S1.3,1,3,,t7,,10.0806,4.9237,Paired with S1.3_t7_B
PSD25_S1.4_t7,PSD25,Annes Beach,S1.4,1,4,,t7,,9.5612,4.8821,Paired with S1.4_t7_C
PSD25_S1.5_t7,PSD25,Annes Beach,S1.5,1,5,,t7,,9.2979,5.1836,Paired with S1.5_t7_C
PSD25_S1.6_t7,PSD25,Annes Beach,S1.6,1,6,,t7,,13.3696,4.9598,Paired with S1.6_t7_C
PSD25_S2.1_t7,PSD25,Craig Key,S2.1,2,1,,t7,,11.5163,5.0413,Paired with S2.1_t7_C
PSD25_S2.2_t7,PSD25,Craig Key,S2.2,2,2,,t7,,17.5487,5.0989,Paired with S2.2_t7_B
PSD25_S2.3_t7,PSD25,Craig Key,S2.3,2,3,,t7,,7.5201,4.9944,Paired with S2.3_t7_A
PSD25_S2.4_t7,PSD25,Craig Key,S2.4,2,4,,t7,,13.458,5.1414,Paired with S2.4_t7_C
PSD25_S2.5_t7,PSD25,Craig Key,S2.5,2,5,,t7,,14.4549,5.0442,Paired with S2.5_t7_C
PSD25_S2.6_t7,PSD25,Craig Key,S2.6,2,6,,t7,,16.8079,5.002,Paired with S2.6_t7_B
PSD25_S3.1_t7,PSD25,Little Conch,S3.1,3,1,,t7,,6.5522,5.1625,Paired with S3.1_t7_C
PSD25_S3.2_t7,PSD25,Little Conch,S3.2,3,2,,t7,,14.1234,5.073,Paired with S3.2_t7_C
PSD25_S3.3_t7,PSD25,Little Conch,S3.3,3,3,,t7,,8.2435,5.1814,Paired with S3.3_t7_C
PSD25_S3.4_t7,PSD25,Little Conch,S3.4,3,4,,t7,,16.2049,5.1295,Paired with S3.4_t7_B
PSD25_S3.5_t7,PSD25,Little Conch,S3.5,3,5,,t7,,13.4596,4.8064,Paired with S3.5_t7_C
PSD25_S3.6_t7,PSD25,Little Conch,S3.6,3,6,,t7,,14.1476,4.8379,Paired with S3.6_t7_B
